EST,Temperature,Events
1/13/2016,26,
1/14/2016,,
1/15/2016,43,
1/16/2016,,Rain
1/17/2016,36,Fog-Snow
1/18/2016,25,Snow
1/19/2016,,
1/20/2016,32,
1/21/2016,31,
1/22/2016,,Snow
1/23/2016,,Fog-Snow
1/24/2016,28,Snow
1/25/2016,34,
1/26/2016,,
1/27/2016,41,Rain
1/28/2016,37,
1/29/2016,,
1/30/2016,34,
1/31/2016,46,
